英雄名稱,勝率,登場率,Ban率
庫奇,0.5670000000000001,0.16079999999999997,0.32939999999999997
汎,0.5241,0.1702,0.055099999999999996
好運姐,0.5097,0.1079,0.0034999999999999996
伊澤瑞爾,0.5027,0.2346,0.0096
圖奇,0.5006,0.0276,0.0005
法洛士,0.49939999999999996,0.20190000000000002,0.07339999999999999
燼,0.49920000000000003,0.096,0.0006
達瑞文,0.4989,0.059000000000000004,0.0036
金克絲,0.4941,0.1045,0.0015
煞蜜拉,0.49329999999999996,0.0928,0.0132
剎雅,0.4919,0.0929,0.0017000000000000001
崔絲塔娜,0.4911,0.0682,0.0004
艾希,0.49090000000000006,0.0329,0.0007000000000000001
凱特琳,0.48810000000000003,0.105,0.0055000000000000005
路西恩,0.4864,0.0909,0.0003
希維爾,0.4858,0.0906,0.0037
婕莉,0.47450000000000003,0.0443,0.0003
克黎思妲,0.4738,0.013000000000000001,0.0013
卡莎,0.4632,0.1946,0.0213
