英雄名稱,勝率,登場率,Ban率
夜曲,0.5627,0.0408,0.7746999999999999
阿姆姆,0.5522,0.06860000000000001,0.038
鏡爪,0.5501,0.0196,0.0009
拉姆斯,0.5403,0.023399999999999997,0.0034000000000000002
不羁之悦,0.5386,0.0126,0.0256
努努和威朗普,0.5347999999999999,0.014499999999999999,0.002
沃里克,0.5264,0.0668,0.066
潘森,0.5256000000000001,0.0418,0.0059
費德提克,0.5244,0.025699999999999997,0.0049
雷恩加爾,0.5204,0.024,0.009399999999999999
莉莉亞,0.518,0.057300000000000004,0.0264
安比薩,0.5164,0.0296,0.0079
厄薩斯,0.5133,0.0736,0.5405
歐拉夫,0.5123,0.0264,0.054299999999999994
赫克林,0.5112,0.0556,0.0113
魔甘娜,0.5112,0.0137,0.105
悟空,0.5096,0.0525,0.0863
劫,0.5085999999999999,0.0755,0.1859
卡兹克,0.5072,0.050499999999999996,0.0009
伊芙琳,0.5068,0.0368,0.0177
趙信,0.5049,0.09269999999999999,0.010700000000000001
慨影,0.5039,0.0435,0.0011
黛安娜,0.5035000000000001,0.0369,0.0037
酒桶,0.502,0.0161,0.0007000000000000001
泰隆,0.4985,0.049699999999999994,0.0089
艾克,0.4972,0.052300000000000006,0.0105
易大師,0.495,0.10400000000000001,0.15990000000000001
菲艾,0.4949,0.062400000000000004,0.0049
嘉文四世,0.4924,0.0653,0.0044
雷玟,0.49219999999999997,0.0584,0.1266
希瓦娜,0.4899,0.031200000000000002,0.0008
波比,0.4877,0.0105,0.052199999999999996
李星,0.4782,0.1882,0.1761
泰達米爾,0.47740000000000005,0.0341,0.037200000000000004
不滅狂雷,0.47659999999999997,0.0751,0.0139
飛斯,0.47600000000000003,0.0356,0.0129
格雷福斯,0.4742,0.059500000000000004,0.0024
菲歐拉,0.4729,0.0129,0.0222
弗力貝爾,0.4669,0.026000000000000002,0.172
犽凝,0.4573,0.0346,0.061799999999999994
達瑞斯,0.4389,0.0173,0.0152
賈克斯,0.43689999999999996,0.0131,0.027999999999999997
納帝魯斯,0.42200000000000004,0.0169,0.01
