英雄名稱,勝率,登場率,Ban率
柔依,0.5576,0.0379,0.1625
辛吉德,0.5447,0.02,0.023399999999999997
派克,0.5422,0.01,0.0152
諾克薩斯,0.5289,0.0711,0.047
凱能,0.5287,0.0278,0.0011
漢默丁格,0.5286,0.0275,0.0075
藍寶,0.5257999999999999,0.0113,0.0753
安妮,0.5238,0.0358,0.0007000000000000001
庫奇,0.5236999999999999,0.0182,0.32939999999999997
維迦,0.5218,0.058899999999999994,0.017
麗珊卓,0.5205,0.0682,0.0812
卡特蓮娜,0.5188,0.0277,0.0023
阿璃,0.5155,0.057800000000000004,0.0004
提摩,0.5126,0.019299999999999998,0.0353
卡薩丁,0.5097999999999999,0.0355,0.0042
弗拉迪米爾 ,0.5096,0.11199999999999999,0.1272
辛德拉,0.508,0.1175,0.3065
影哨,0.5045000000000001,0.0127,0.0006
凱爾,0.5044,0.0187,0.0070999999999999995
加里歐,0.5033,0.0935,0.0096
魔甘娜,0.5004,0.058899999999999994,0.105
飛斯,0.49939999999999996,0.0401,0.0129
布蘭德,0.4987,0.049,0.0058
奧莉安娜,0.49770000000000003,0.098,0.0083
希格斯,0.49770000000000003,0.066,0.0127
納瑟斯,0.49689999999999995,0.0181,0.40759999999999996
奧術,0.4954,0.0704,0.0443
薇可絲,0.4949,0.0431,0.0055000000000000005
逆命,0.4949,0.0553,0.0018
阿卡莉,0.4928,0.0432,0.0068000000000000005
杰西,0.4919,0.022099999999999998,0.0006
拉克絲,0.49119999999999997,0.0473,0.1378
枷蘿,0.4885,0.032400000000000005,0.30670000000000003
犽宿,0.4842,0.0751,0.1747
艾克,0.4816,0.0199,0.0105
黛安娜,0.47850000000000004,0.0329,0.0037
奧瑞利安,0.4775,0.0922,0.0613
劫,0.4705,0.0292,0.1859
伊瑞莉雅,0.4702,0.0158,0.0095
雷茲,0.4698,0.0529,0.7635
犽凝,0.4668,0.0735,0.061799999999999994
墨菲特,0.4547,0.0106,0.0356
