英雄名稱,勝率,登場率,Ban率
瑟菈紛,0.5733,0.1734,0.5478000000000001
布里茨,0.5325,0.1072,0.0388
琴仙索娜,0.5229,0.15839999999999999,0.0897
茂凱,0.517,0.062,0.0064
鄂爾,0.5099,0.0181,0.0022
派克,0.5083,0.0489,0.0152
亞歷斯塔,0.5045000000000001,0.0596,0.0073
卡爾瑪,0.5041,0.1532,0.0126
幻翎,0.5036999999999999,0.05,0.0024
蕾歐娜,0.5034000000000001,0.0708,0.0217
枷蘿,0.5006,0.0665,0.30670000000000003
索拉卡,0.5003,0.056100000000000004,0.0141
迦娜,0.496,0.051100000000000007,0.0023
錘石,0.49329999999999996,0.096,0.016
娜米,0.4904,0.0928,0.0014000000000000002
弗雷尔卓德之心,0.4863,0.024300000000000002,0.0017000000000000001
米利歐,0.4842,0.051500000000000004,0.0916
墨菲特,0.48340000000000005,0.0425,0.0356
姍娜,0.4817,0.0222,0.0009
拉克絲,0.4781,0.1104,0.1378
加里歐,0.4775,0.0202,0.0096
諾克薩斯,0.4739,0.0479,0.047
魔甘娜,0.47240000000000004,0.0547,0.105
納帝魯斯,0.4692,0.066,0.01
露璐,0.4686,0.1244,0.1477
悠咪,0.4532,0.09140000000000001,0.6441
賽特,0.43689999999999996,0.011200000000000002,0.0101
