英雄名稱,勝率,登場率,Ban率
辛吉德,0.56,0.022799999999999997,0.023399999999999997
凱爾,0.5498,0.050199999999999995,0.0070999999999999995
歐拉夫,0.5498,0.0235,0.054299999999999994
沃里克,0.5496,0.0134,0.066
慎,0.5327000000000001,0.0355,0.0029
伊瑞莉雅,0.5284,0.036000000000000004,0.0095
吶兒,0.5267000000000001,0.0655,0.0837
藍寶,0.5211,0.0574,0.0753
弗力貝爾,0.5168,0.11789999999999999,0.172
厄薩斯,0.5168,0.1012,0.5405
鄂爾,0.5155,0.0509,0.0022
嘉文四世,0.5125,0.0123,0.0044
賈克斯,0.5121,0.1016,0.027999999999999997
悟空,0.5117,0.038900000000000004,0.0863
卡蜜兒,0.5105,0.061799999999999994,0.009000000000000001
菲歐拉,0.5064,0.0708,0.0222
達瑞斯,0.505,0.1433,0.0152
雷玟,0.5039,0.0209,0.1266
雷尼克頓 ,0.5,0.0382,0.0008
蒙多醫生,0.49770000000000003,0.042699999999999995,0.0026
波比,0.4955,0.0487,0.052199999999999996
提摩,0.4953,0.0207,0.0353
泰達米爾,0.489,0.026600000000000002,0.037200000000000004
犽凝,0.4882,0.1096,0.061799999999999994
賽特,0.48700000000000004,0.1501,0.0101
關,0.4855,0.0398,0.006
 魔鬥凱薩,0.4851,0.062,0.04019999999999999
犽宿,0.48009999999999997,0.0405,0.1747
烏爾加特,0.47609999999999997,0.0268,0.0033
納瑟斯,0.47609999999999997,0.0638,0.40759999999999996
蓋倫,0.47479999999999994,0.11130000000000001,0.0095
杰西,0.46759999999999996,0.022799999999999997,0.0006
墨菲特,0.4657,0.037200000000000004,0.0356
賽恩,0.45549999999999996,0.0354,0.0039000000000000003
納帝魯斯,0.45049999999999996,0.013999999999999999,0.01
