英雄名稱,勝率,登場率,Ban率
庫奇,0.5535,0.0825,0.0501
好運姐,0.5204,0.2173,0.020099999999999996
希維爾,0.5191,0.0864,0.0053
艾希,0.5141,0.06309999999999999,0.0012
燼,0.5123,0.1054,0.0015
法洛士,0.5058,0.159,0.047400000000000005
伊澤瑞爾,0.5055,0.1825,0.009399999999999999
汎,0.5031,0.1152,0.054900000000000004
金克絲,0.5028,0.11800000000000001,0.0034000000000000002
剎雅,0.5021,0.0707,0.0031
婕莉,0.4972,0.0202,0.0002
崔絲塔娜,0.4943,0.1067,0.002
凱特琳,0.4935,0.2139,0.0254
圖奇,0.4892,0.0248,0.0012
路西恩,0.48469999999999996,0.0737,0.0011
煞蜜拉,0.47009999999999996,0.1018,0.0371
克黎思妲,0.4679,0.0254,0.0137
達瑞文,0.4671,0.0663,0.0308
卡莎,0.4664,0.1398,0.008199999999999999
