英雄名稱,勝率,登場率,Ban率
阿姆姆,0.5760000000000001,0.0639,0.032
夜曲,0.5594,0.08869999999999999,0.7208
拉姆斯,0.5492,0.024,0.0074
魔甘娜,0.5451,0.018600000000000002,0.2396
莉莉亞,0.5297999999999999,0.04019999999999999,0.0218
努努和威朗普,0.5253,0.013600000000000001,0.0008
沃里克,0.5224,0.0431,0.0349
艾克,0.5217,0.0378,0.0131
嘉文四世,0.5206000000000001,0.0675,0.0054
格雷福斯,0.513,0.0855,0.0059
鏡爪,0.5112,0.0169,0.0019
費德提克,0.5101,0.0215,0.005600000000000001
飛斯,0.5067,0.0387,0.0451
歐拉夫,0.5065999999999999,0.027999999999999997,0.0226
悟空,0.5057,0.037000000000000005,0.0762
希瓦娜,0.5045000000000001,0.0377,0.0031
慨影,0.503,0.0371,0.0027
趙信,0.5029,0.12380000000000001,0.0148
潘森,0.4968,0.0449,0.0194
黛安娜,0.4966,0.0359,0.0052
弗力貝爾,0.496,0.0388,0.1955
易大師,0.4959,0.1442,0.34490000000000004
卡兹克,0.4951,0.039900000000000005,0.0012
厄薩斯,0.4943,0.0632,0.21059999999999998
安比薩,0.49119999999999997,0.0204,0.0167
泰達米爾,0.49079999999999996,0.059800000000000006,0.1378
菲艾,0.4904,0.08560000000000001,0.0060999999999999995
雷恩加爾,0.4899,0.0138,0.0121
劫,0.48869999999999997,0.0345,0.045899999999999996
赫克林,0.4876,0.0268,0.0053
泰隆,0.4875,0.0176,0.0042
波比,0.4865,0.026699999999999998,0.052300000000000006
犽凝,0.4843,0.0235,0.0487
伊芙琳,0.4826,0.0301,0.0103
不滅狂雷,0.48090000000000005,0.052199999999999996,0.0223
 魔鬥凱薩,0.479,0.0124,0.09119999999999999
納帝魯斯,0.47850000000000004,0.019,0.015
雷玟,0.4747,0.032,0.0338
達瑞斯,0.474,0.033,0.028999999999999998
李星,0.4738,0.179,0.0696
賈克斯,0.43479999999999996,0.0319,0.013500000000000002
