英雄名稱,勝率,登場率,Ban率
魔甘娜,0.5394,0.07339999999999999,0.2396
凱爾,0.5375,0.0189,0.0109
枷蘿,0.5315,0.0387,0.48979999999999996
凱能,0.5254,0.015700000000000002,0.0039000000000000003
諾克薩斯,0.5239,0.043,0.056900000000000006
辛德拉,0.5204,0.08,0.106
拉克絲,0.5196000000000001,0.0797,0.37689999999999996
薇可絲,0.5193,0.0556,0.009000000000000001
奧術,0.5189,0.0805,0.1117
布蘭德,0.516,0.08800000000000001,0.0424
阿璃,0.5155,0.0574,0.001
弗拉迪米爾 ,0.5147999999999999,0.057,0.04769999999999999
提摩,0.5136,0.0227,0.17800000000000002
奧莉安娜,0.5133,0.0548,0.0053
維迦,0.5117,0.10980000000000001,0.0748
希格斯,0.5115999999999999,0.0748,0.0304
漢默丁格,0.511,0.027200000000000002,0.0297
柔依,0.508,0.015300000000000001,0.0148
安妮,0.5072,0.025,0.0013
加里歐,0.5065999999999999,0.1099,0.019
飛斯,0.5047999999999999,0.0358,0.0451
麗珊卓,0.5036,0.0466,0.053099999999999994
逆命,0.5025999999999999,0.0421,0.0017000000000000001
庫奇,0.5013000000000001,0.0241,0.0501
納瑟斯,0.4885,0.019799999999999998,0.3428
法洛士,0.4858,0.0102,0.047400000000000005
奧瑞利安,0.48479999999999995,0.0738,0.042300000000000004
黛安娜,0.48369999999999996,0.026000000000000002,0.0052
卡薩丁,0.4818,0.0154,0.0015
劫,0.48119999999999996,0.0326,0.045899999999999996
雷茲,0.47909999999999997,0.0697,0.7375
艾克,0.4788,0.024399999999999998,0.0131
瑟菈紛,0.47619999999999996,0.0118,0.13470000000000001
卡特蓮娜,0.47240000000000004,0.0151,0.0034999999999999996
崔絲塔娜,0.4715,0.010700000000000001,0.002
伊瑞莉雅,0.4693,0.0196,0.0151
杰西,0.46840000000000004,0.0132,0.0009
犽凝,0.4664,0.08039999999999999,0.0487
路西恩,0.466,0.015700000000000002,0.0011
犽宿,0.4619,0.10640000000000001,0.11320000000000001
伊澤瑞爾,0.4617,0.0125,0.009399999999999999
阿卡莉,0.4495,0.0383,0.0044
墨菲特,0.4487,0.0258,0.18780000000000002
