英雄名稱,勝率,登場率,Ban率
瑟菈紛,0.5331,0.1618,0.13470000000000001
布里茨,0.527,0.1148,0.0548
枷蘿,0.5214,0.0809,0.48979999999999996
茂凱,0.5172,0.0508,0.0124
卡爾瑪,0.5151,0.0748,0.0102
拉克絲,0.5129,0.1524,0.37689999999999996
琴仙索娜,0.5103,0.045599999999999995,0.006999999999999999
索拉卡,0.5097999999999999,0.058499999999999996,0.0332
維迦,0.5091,0.0388,0.0748
魔甘娜,0.5061,0.0725,0.2396
米利歐,0.5031,0.0271,0.0443
娜米,0.5025,0.0564,0.0017000000000000001
布蘭德,0.502,0.03,0.0424
迦娜,0.5014,0.023,0.0018
諾克薩斯,0.4999,0.0799,0.056900000000000006
弗雷尔卓德之心,0.4961,0.030600000000000002,0.0054
派克,0.49439999999999995,0.039900000000000005,0.0259
蕾歐娜,0.4928,0.1437,0.095
亞歷斯塔,0.4914,0.0613,0.0091
墨菲特,0.48979999999999996,0.09699999999999999,0.18780000000000002
幻翎,0.48829999999999996,0.030699999999999998,0.0031
露璐,0.48560000000000003,0.0934,0.0909
姍娜,0.48229999999999995,0.0339,0.0025
加里歐,0.48,0.0315,0.019
賽特,0.4777,0.0144,0.012199999999999999
悠咪,0.47590000000000005,0.0809,0.5382
納帝魯斯,0.4752,0.0816,0.015
錘石,0.4697,0.09759999999999999,0.044500000000000005
