英雄名稱,勝率,登場率,Ban率
凱爾,0.5600999999999999,0.0519,0.0109
歐拉夫,0.5352,0.013500000000000002,0.0226
悟空,0.532,0.028399999999999998,0.0762
弗力貝爾,0.5283,0.1024,0.1955
慎,0.5283,0.0322,0.0034000000000000002
提摩,0.5238,0.0507,0.17800000000000002
藍寶,0.5227,0.0547,0.0547
辛吉德,0.5214,0.0131,0.0059
汎,0.5194,0.019299999999999998,0.054900000000000004
凱能,0.5186,0.0121,0.0039000000000000003
吶兒,0.5166,0.051500000000000004,0.0639
蒙多醫生,0.5095000000000001,0.05,0.0131
鄂爾,0.507,0.0292,0.0025
波比,0.5061,0.0571,0.052300000000000006
賽特,0.5055,0.13699999999999998,0.012199999999999999
卡蜜兒,0.5052,0.0197,0.0015
賈克斯,0.5034000000000001,0.0739,0.013500000000000002
厄薩斯,0.503,0.0917,0.21059999999999998
泰達米爾,0.5014,0.0327,0.1378
犽凝,0.4974,0.0916,0.0487
關,0.496,0.024,0.0064
雷尼克頓 ,0.4938,0.0335,0.0023
雷茲,0.4932,0.0203,0.7375
菲歐拉,0.4924,0.032,0.004699999999999999
 魔鬥凱薩,0.4918,0.07339999999999999,0.09119999999999999
伊瑞莉雅,0.4915,0.024,0.0151
烏爾加特,0.49079999999999996,0.0524,0.0281
賽恩,0.48729999999999996,0.047,0.0098
墨菲特,0.48729999999999996,0.04019999999999999,0.18780000000000002
達瑞斯,0.4868,0.152,0.028999999999999998
蓋倫,0.4851,0.1606,0.0259
納瑟斯,0.4804,0.08470000000000001,0.3428
納帝魯斯,0.4794,0.0103,0.015
犽宿,0.47369999999999995,0.0395,0.11320000000000001
杰西,0.46840000000000004,0.0146,0.0009
雷玟,0.4664,0.021400000000000002,0.0338
弗拉迪米爾 ,0.4631,0.0131,0.04769999999999999
