英雄名稱,勝率,登場率,Ban率
庫奇,0.5606,0.2141,0.3725
圖奇,0.5223,0.0321,0.0003
汎,0.5128,0.19820000000000002,0.0596
達瑞文,0.5127,0.0426,0.0013
希維爾,0.5114,0.0919,0.0036
伊澤瑞爾,0.5089,0.2161,0.0077
法洛士,0.503,0.20199999999999999,0.059800000000000006
燼,0.5,0.08869999999999999,0.0004
路西恩,0.4891,0.0975,0.0003
好運姐,0.4879,0.08470000000000001,0.0015
剎雅,0.4857,0.09050000000000001,0.0013
金克絲,0.48450000000000004,0.1038,0.0008
艾希,0.484,0.0277,0.0006
崔絲塔娜,0.47850000000000004,0.06280000000000001,0.0012
卡莎,0.4677,0.22149999999999997,0.0352
凱特琳,0.4664,0.0902,0.0013
煞蜜拉,0.46409999999999996,0.0591,0.0042
