英雄名稱,勝率,登場率,Ban率
努努和威朗普,0.5721,0.024700000000000003,0.0043
拉姆斯,0.5664,0.0285,0.0036
夜曲,0.5345,0.0672,0.7962
歐拉夫,0.5294,0.0335,0.0688
酒桶,0.529,0.02,0.0013
泰隆,0.5267000000000001,0.0565,0.0102
沃里克,0.5194,0.0637,0.0928
安比薩,0.5179,0.0216,0.0064
劫,0.5178,0.0855,0.218
菲歐拉,0.5169,0.0182,0.024399999999999998
赫克林,0.5151,0.0626,0.0173
雷恩加爾,0.5146999999999999,0.0223,0.0118
趙信,0.5117,0.1026,0.0121
阿姆姆,0.5104,0.0647,0.0288
魔甘娜,0.5054,0.010700000000000001,0.0783
莉莉亞,0.5042,0.0548,0.0313
鏡爪,0.5041,0.014199999999999999,0.0005
雷玟,0.5035000000000001,0.0724,0.1349
嘉文四世,0.5022,0.06269999999999999,0.0044
費德提克,0.5,0.023799999999999998,0.0049
李星,0.49979999999999997,0.22579999999999997,0.18109999999999998
不羁之悦,0.49829999999999997,0.0116,0.040999999999999995
飛斯,0.49829999999999997,0.0223,0.0086
希瓦娜,0.498,0.0196,0.001
慨影,0.4964,0.032,0.0013
菲艾,0.4946,0.0683,0.0045000000000000005
納帝魯斯,0.4943,0.017,0.0167
潘森,0.4929,0.0352,0.0043
伊芙琳,0.491,0.034300000000000004,0.0248
厄薩斯,0.48969999999999997,0.0959,0.5713
艾克,0.4879,0.0414,0.0075
黛安娜,0.48590000000000005,0.031400000000000004,0.0021
卡兹克,0.4826,0.0479,0.0005
犽凝,0.47700000000000004,0.0345,0.0524
悟空,0.4757,0.053200000000000004,0.0699
不滅狂雷,0.47409999999999997,0.0708,0.0083
易大師,0.47350000000000003,0.0737,0.0886
弗力貝爾,0.47009999999999996,0.0207,0.13
格雷福斯,0.46799999999999997,0.0416,0.0008
波比,0.4622,0.0174,0.056299999999999996
泰達米爾,0.4542,0.022400000000000003,0.011899999999999999
賈克斯,0.4537,0.0121,0.030699999999999998
