英雄名稱,勝率,登場率,Ban率
辛吉德,0.6172,0.0292,0.0382
柔依,0.5640999999999999,0.0401,0.1557
凱能,0.5468,0.029300000000000003,0.0007000000000000001
安妮,0.5362,0.049100000000000005,0.0017000000000000001
提摩,0.5306000000000001,0.0189,0.0148
漢默丁格,0.5273,0.0304,0.005699999999999999
卡特蓮娜,0.5257000000000001,0.024,0.0032
諾克薩斯,0.5196999999999999,0.0755,0.0349
飛斯,0.5195000000000001,0.0318,0.0086
庫奇,0.5181,0.0203,0.3725
黛安娜,0.5165,0.0317,0.0021
凱爾,0.5159,0.0206,0.0066
辛德拉,0.5121,0.1261,0.3034
影哨,0.5115999999999999,0.0116,0.0005
枷蘿,0.5103,0.032,0.2511
奧術,0.5097999999999999,0.0613,0.030699999999999998
魔甘娜,0.509,0.0557,0.0783
藍寶,0.5084000000000001,0.0115,0.0821
麗珊卓,0.5083,0.08130000000000001,0.0839
薇可絲,0.5039,0.049400000000000006,0.0043
杰西,0.5024000000000001,0.024,0.0005
劫,0.502,0.0296,0.218
阿璃,0.5014,0.053399999999999996,0.0002
奧莉安娜,0.5013000000000001,0.091,0.0098
卡薩丁,0.5006,0.0329,0.0052
阿卡莉,0.49729999999999996,0.0431,0.0098
逆命,0.4959,0.0665,0.0014000000000000002
弗拉迪米爾 ,0.4932,0.1158,0.1375
納瑟斯,0.49200000000000005,0.024,0.39299999999999996
犽宿,0.4875,0.0527,0.1467
維迦,0.485,0.050199999999999995,0.0052
拉克絲,0.483,0.042,0.0788
希格斯,0.47850000000000004,0.06559999999999999,0.0121
雷茲,0.4781,0.0663,0.7687
布蘭德,0.4772,0.0322,0.0019
加里歐,0.4707,0.08650000000000001,0.0062
奧瑞利安,0.46840000000000004,0.1015,0.0592
伊瑞莉雅,0.4653,0.011699999999999999,0.006999999999999999
犽凝,0.455,0.06309999999999999,0.0524
艾克,0.4324,0.0174,0.0075
