英雄名稱,勝率,登場率,Ban率
鄂爾,0.5579,0.0147,0.005699999999999999
瑟菈紛,0.5383,0.1862,0.5475
茂凱,0.5364,0.056299999999999996,0.0073
布里茨,0.5355,0.0998,0.0435
加里歐,0.5346,0.0123,0.0062
派克,0.5272,0.04190000000000001,0.018799999999999997
幻翎,0.5253,0.0436,0.002
琴仙索娜,0.5203,0.1582,0.058899999999999994
魔甘娜,0.5075999999999999,0.0382,0.0783
卡爾瑪,0.5073,0.1394,0.011399999999999999
米利歐,0.5047,0.13269999999999998,0.25120000000000003
亞歷斯塔,0.49729999999999996,0.0571,0.0097
納帝魯斯,0.4972,0.047599999999999996,0.0167
迦娜,0.4965,0.0501,0.0031
枷蘿,0.4913,0.0575,0.2511
諾克薩斯,0.489,0.03,0.0349
姍娜,0.48829999999999996,0.0165,0.0014000000000000002
娜米,0.4866,0.1152,0.0017000000000000001
露璐,0.486,0.2182,0.2638
索拉卡,0.4855,0.0575,0.011399999999999999
弗雷尔卓德之心,0.4852,0.015700000000000002,0.0012
蕾歐娜,0.4803,0.053899999999999997,0.009000000000000001
錘石,0.46549999999999997,0.0695,0.013999999999999999
拉克絲,0.4596,0.0943,0.0788
悠咪,0.4585,0.1061,0.7826000000000001
墨菲特,0.45299999999999996,0.026699999999999998,0.015300000000000001
