英雄名稱,勝率,登場率,Ban率
辛吉德,0.5795,0.0374,0.0382
歐拉夫,0.547,0.0288,0.0688
雷玟,0.5429999999999999,0.019799999999999998,0.1349
凱爾,0.5307999999999999,0.0433,0.0066
伊瑞莉雅,0.5236999999999999,0.0278,0.006999999999999999
雷尼克頓 ,0.5214,0.0334,0.0003
吶兒,0.5213,0.0681,0.0739
菲歐拉,0.5209,0.0674,0.024399999999999998
關,0.5175,0.0298,0.0060999999999999995
賈克斯,0.5143,0.1121,0.030699999999999998
 魔鬥凱薩,0.5107,0.059699999999999996,0.0333
波比,0.51,0.0791,0.056299999999999996
弗力貝爾,0.5072,0.1157,0.13
慎,0.5041,0.042699999999999995,0.0029
厄薩斯,0.5035000000000001,0.0949,0.5713
墨菲特,0.5027,0.0358,0.015300000000000001
悟空,0.5024000000000001,0.04019999999999999,0.0699
提摩,0.5017,0.022799999999999997,0.0148
納瑟斯,0.5012,0.08220000000000001,0.39299999999999996
藍寶,0.4997,0.0613,0.0821
卡蜜兒,0.4989,0.051699999999999996,0.008199999999999999
泰達米爾,0.49770000000000003,0.0248,0.011899999999999999
鄂爾,0.4976,0.0554,0.005699999999999999
賽特,0.49700000000000005,0.1426,0.005699999999999999
達瑞斯,0.49369999999999997,0.11699999999999999,0.0063
沃里克,0.4917,0.011699999999999999,0.0928
犽凝,0.4866,0.1025,0.0524
烏爾加特,0.48560000000000003,0.018799999999999997,0.0008
杰西,0.4779,0.020099999999999996,0.0005
賽恩,0.4753,0.053200000000000004,0.0036
蒙多醫生,0.466,0.0387,0.0008
犽宿,0.4632,0.031,0.1467
蓋倫,0.4622,0.113,0.0066
雷茲,0.42810000000000004,0.0113,0.7687
